word,token_id,snt_id,onset,offset,pos,log_freq
生活,6,51,1.82409,0.98087,VERB,2.77259
落,7,51,1.96989,1.69714,VERB,3.97029
去,8,51,2.07933,2.41341,VERB,6.6733
又,1,52,2.2468,3.19877,ADV,6.82111
冇,2,52,2.41427,3.98413,VERB,6.66185
傾,3,52,2.58437,4.61651,VERB,3.58352
得,4,52,2.78055,5.24889,PART,6.2672
埋,5,52,2.97672,5.60555,PART,5.11799
嘅,6,52,3.11157,5.96221,PART,7.47647
朋友,7,52,3.28652,142.51,NOUN,3.49651
一直,1,53,0.20164,0.34639,ADV,1.60944
到,2,53,0.38646,0.52134,PART,6.7546
六,3,53,0.57129,0.7581,NUM,3.63759
年,4,53,0.80971,1.01443,NOUN,5.19296
前,5,53,1.19871,1.82409,ADV,3.2581
我,1,54,1.46598,1.96989,PRON,7.92154
揸,2,54,1.81873,2.07933,VERB,3.21888
飛機,3,54,1.97358,144.768,NOUN,2.70805
嗰陣,4,54,0.21909,2.41427,PRON,2.48491
因為,5,54,0.30662,2.58437,CCONJ,5.8693
故障,6,54,0.47367,2.78055,NOUN,0
被,7,54,0.6489,2.97672,NOUN,1.79176
