snt_id	snt
3.097	我喺第四日朝早知道呢件事嘅
3.098	當時你同我講
3.099	我好鍾意睇日落㗎
3.100	不如我哋依家就去睇日落啦
3.101	但係仲要等吓喎
3.102	等乜嘢呀
3.103	等夠鐘日落囉
3.104	你一時間呆咗一呆
3.105	然後你笑你自己
3.106	我仲成日以為自己喺屋企添
3.107	係人都知
3.108	當美國係正午嘅時候
3.109	太陽就喺法國落緊山
3.110	如果你可以眨下眼就去咗法國
3.111	你就可以即刻睇到日落
3.112	可惜嘅係法國太遠喇
3.113	不過如果係一粒好細嘅行星上邊
3.114	小王子你只需要移開你張凳幾步
3.115	就可以隨時欣賞黑夜嘅來臨
3.116	我試過有一日
3.117	我總共睇咗四十四次日落
3.118	過咗一陣你又話
3.119	你知唔知呀
3.120	當一個人好唔開心嗰陣
3.121	就會愛上睇日落
3.122	咁你睇咗四十四次日落嗰日
3.123	係咪好唔開心
3.124	但係小王子並冇答到我
4.001	去到第五日
4.002	一如既往
4.003	多得隻綿羊仔我終於揭開咗小王子身世嘅秘密
4.004	佢好似静静雞喺心入邊諗咗個問題好耐
4.005	之後要大聲講出來咁
4.006	失驚無神突然問我
4.007	如果綿羊會食薯仔
4.008	咁佢會唔會都食花㗎
4.009	綿羊見到乜就食乜㗎啦
4.010	就算有刺嘅花都食
4.011	係呀就算有刺嘅花都食
4.012	係咁啲花要刺嚟做乜呀
4.013	我一時唔知點答佢
4.014	當時我正喺度嘗試緊將一粒棘住我個引擎嘅螺絲扭翻出來
4.015	我好擔心
4.016	因為部飛機損毀得似乎相當嚴重
4.017	而令我更加之徬徨嘅係
4.018	剩翻嘅食水已經愈來愈少
4.019	係咁啲花要刺嚟做乜呀
4.020	小王子一問開一個問題就永遠都唔肯罷休
4.021	我實在畀粒螺絲搞到個人好矇眐
4.022	所以諗都冇諗就衝口而出
4.023	啲刺係乜用都冇㗎啦
4.024	純粹係啲花想靠害囉
4.025	哦
4.026	隨之而來嘅係一陣嘅寂靜
4.027	然後佢語帶苦澀咁反駁我
4.028	我先唔會信你呀
4.029	啲花咁脆弱
4.030	佢哋好單純㗎
4.031	佢哋好盡力咁做好自己
4.032	佢哋真係覺得自己有刺好得人驚㗎
4.033	我冇出聲
4.034	嗰一刻我同緊自己講
4.035	如果粒螺絲再咁硬頸嘅話
4.036	我就會搵個錘仔揼佢出嚟
4.037	小王子又再打斷咗我嘅思路
4.038	而你呢你就覺得啲花
4.039	冇囉冇囉
4.040	我咩都冇覺得過囉
4.041	我就係求其ngap啲嘢敷衍你咋嘛
4.042	其實我有啲好重要嘅嘢做緊囉
4.043	佢好詫異咁gwat實我
4.044	好重要嘅嘢
4.045	佢望住我
4.046	見到我手上面揸住個錘仔
4.047	手指頭全部都污糟邋遢
4.048	彎低身修理緊部佢覺得極其醜陋嘅機器
4.049	你講嘢同啲大人一模一樣
4.050	呢句說話令我覺得有少少慚愧
4.051	不過佢依然唔肯罷休
4.052	你所有嘢都混淆晒
4.053	你所有嘢都搞錯晒呀
4.054	佢真係好嬲呀
4.055	一頭金髮喺微風中不停咁擺動
4.056	我知道有粒行星上面住咗個塊面係紫色嘅男人
4.057	佢從來未聞過任何花香
4.058	從來未見過一粒星星
4.059	從來未愛過任何一個人
4.060	除咗將啲數字加嚟加去
4.061	佢從來未做過任何嘢
4.062	而佢同你一樣
4.063	成日不停咁同自己講
4.064	我係一個好認真嘅人
4.065	我係一個好認真嘅人
4.066	就係咁驕傲就令到佢自我膨脹
4.067	但佢咁樣唔係一個人
4.068	而係一隻蘑菇囉
4.069	一隻咩話
4.070	一隻蘑菇
4.071	小王子呢刻嬲到出晒煙
4.072	幾百萬年嚟花都會生刺出嚟
4.073	但係幾百萬年嚟綿羊都係咁食晒呢啲花
4.074	唔通嘗試吓去了解點解啲花要大費周章生啲對佢哋完全冇用嘅刺出嚟
4.075	真係唔重要咩
4.076	唔通綿羊同花之間嘅戰爭
4.077	真係唔重要咩
4.078	唔通呢啲嘢真係唔比一個滿面通紅嘅肥男人嘅加數嚟得更重要咩
4.079	而我本身就識得一朵世上獨一無二嘅花
4.080	除咗喺我粒行星上面之外都搵唔到
4.081	但係只要一隻綿羊仔一啖就可以摧毀佢就只係咁
4.082	某一朝甚至乎根本佢自己都冇留意到自己做咗咩
4.083	呵我諗呢樣嘢同樣都係無關重要啦可
4.084	佢滿面都紅晒
4.085	繼續講
4.086	如果有人鍾意一朵花
4.087	一朵千千萬萬繁星上面獨一無二嘅花
4.088	咁只要抬頭仰望星空
4.089	佢就會覺得好開心
4.090	佢會同自己講
4.091	我朵花就喺呢個夜空嘅某處
4.092	但如果綿羊仔食咗朵花
4.093	咁對佢嚟講
4.094	就會好似所有星光都突然熄滅一樣
4.095	我諗都一樣係無關重要啦
4.096	佢已經唔能夠繼續再講落去
4.097	眼淚突然奪眶而出
4.098	夜幕低垂
4.099	我放低個手上嘅工具
4.100	唔再擔心我把錘仔我粒螺絲我嘅饑渴甚至係死亡
4.101	喺粒星星上邊
4.102	一粒行星
4.103	呢一粒行星
4.104	喺地球
4.105	如果小王子需要我嘅開解安慰
4.106	我抱佢入懷
4.107	輕輕攬住佢
4.108	我同佢講
4.109	你鍾意嗰朵花唔會有危險
4.110	我會幫隻綿羊畫一個口罩
4.111	我會畫一個圍欄
4.112	圍住你朵花
4.113	我會
4.114	我其實唔係好知應該講咩好
4.115	覺得自己笨手笨腳咁
4.116	唔知應該點樣去靠近佢
4.117	從邊度去接通佢內心嘅世界
4.118	眼淚嘅國度
4.119	真係好神秘
4.120	好快我就知多咗關於呢朵花嘅事
